tool_name,scenario_id,selection_reason,execution_status,true_positives,false_positives,false_negatives,precision,recall,f1_score,missing_file_paths,extra_file_paths,missing_line_examples_json,extra_line_examples_json,exact_oracle_match,complete_textual_resolution
FSTMerge,scenario_1,clean output with two extra file paths and high FP,completed_clean,49,188,1,0.20675105485232068,0.98,0.34146341463414637,,People.java;Person.java,"[{""path"":""Client.java"",""line"":""public class Client {"",""multiplicity"":1}]","[{""path"":""Client.java"",""line"":"""",""multiplicity"":15},{""path"":""Client.java"",""line"":""\t"",""multiplicity"":14},{""path"":""Client.java"",""line"":""public  class  Client {"",""multiplicity"":1},{""path"":""People.java"",""line"":"""",""multiplicity"":15},{""path"":""People.java"",""line"":""\t"",""multiplicity"":14}]",False,False
FSTMerge,scenario_5,readable empty output with undefined precision and F1,completed_clean,0,0,50,,0.0,,,,"[{""path"":""Person.java"",""line"":""    "",""multiplicity"":10},{""path"":""Person.java"",""line"":""        return \""Person{id=\"" + id + \"", name='\"" + name + \""'}\"";"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return email;"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return id;"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return name;"",""multiplicity"":1}]",[],False,False
FSTMerge,scenario_26,lowest-precision structural output with missing and extra paths,completed_clean,18,154,33,0.10465116279069768,0.35294117647058826,0.16143497757847536,Customer.java,Client.java;Custumer.java;Purchase.java,"[{""path"":""Customer.java"",""line"":"""",""multiplicity"":6},{""path"":""Customer.java"",""line"":""        return customerId;"",""multiplicity"":1},{""path"":""Customer.java"",""line"":""        return name;"",""multiplicity"":1},{""path"":""Customer.java"",""line"":""        this.customerId = customerId;"",""multiplicity"":2},{""path"":""Customer.java"",""line"":""        this.name = name;"",""multiplicity"":2}]","[{""path"":""Client.java"",""line"":"""",""multiplicity"":18},{""path"":""Client.java"",""line"":""\t"",""multiplicity"":8},{""path"":""Client.java"",""line"":""\t "",""multiplicity"":2},{""path"":""Client.java"",""line"":""        return id;"",""multiplicity"":1},{""path"":""Client.java"",""line"":""        return name;"",""multiplicity"":1}]",False,False
IntelliMerge,scenario_6,complete exact textual resolution,completed_clean,50,0,0,1.0,1.0,1.0,,,[],[],True,True
IntelliMerge,scenario_23,conflicted output with four missing paths,completed_conflicted,21,22,34,0.4883720930232558,0.38181818181818183,0.42857142857142855,EmailStrategy.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,,"[{""path"":""EmailStrategy.java"",""line"":""        System.out.println(\""Conteúdo: \"" + message);"",""multiplicity"":1},{""path"":""EmailStrategy.java"",""line"":""        System.out.println(\""Email enviado com sucesso!\"");"",""multiplicity"":1},{""path"":""EmailStrategy.java"",""line"":""        System.out.println(\""Enviando email para: \"" + recipient);"",""multiplicity"":1},{""path"":""EmailStrategy.java"",""line"":""    @Override"",""multiplicity"":1},{""path"":""EmailStrategy.java"",""line"":""    public void send(String message, String recipient) {"",""multiplicity"":1}]","[{""path"":""NotificationService.java"",""line"":"""",""multiplicity"":1},{""path"":""NotificationService.java"",""line"":""    "",""multiplicity"":1},{""path"":""NotificationService.java"",""line"":""            "",""multiplicity"":1},{""path"":""NotificationService.java"",""line"":""                System.out.println(\""Conteúdo: \"" + message);"",""multiplicity"":1},{""path"":""NotificationService.java"",""line"":""                System.out.println(\""Enviando SMS para: \"" + recipient);"",""multiplicity"":1}]",False,False
IntelliMerge,scenario_38,conflicted behavioral output in the high-risk sample,completed_conflicted,109,56,65,0.6606060606060606,0.6264367816091954,0.6430678466076697,,,"[{""path"":""UserValidator.java"",""line"":""    "",""multiplicity"":6},{""path"":""UserValidator.java"",""line"":""        "",""multiplicity"":3},{""path"":""UserValidator.java"",""line"":""            logValidationError(message);"",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            return handleValidationError(\""Age must be between 13 and 120\"");"",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            return handleValidationError(\""Age not in valid range for business users\"");"",""multiplicity"":1}]","[{""path"":""UserValidator.java"",""line"":"""",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            logValidationError(\""Age not in valid range for business users\"");"",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            logValidationError(\""Disposable email not allowed\"");"",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            logValidationError(\""Email domain not allowed\"");"",""multiplicity"":1},{""path"":""UserValidator.java"",""line"":""            logValidationError(\""Email format invalid\"");"",""multiplicity"":1}]",False,False
JDime,scenario_5,readable empty structured output,completed_clean,0,0,50,,0.0,,,,"[{""path"":""Person.java"",""line"":""    "",""multiplicity"":10},{""path"":""Person.java"",""line"":""        return \""Person{id=\"" + id + \"", name='\"" + name + \""'}\"";"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return email;"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return id;"",""multiplicity"":1},{""path"":""Person.java"",""line"":""        return name;"",""multiplicity"":1}]",[],False,False
