tool_name,scenario_id,mapping,change_type,execution_status,true_positives,false_positives,false_negatives,precision,recall,f1_score,f1_rounded_2,rounded_score_cell_count,missing_files,extra_files,exact_oracle_match,complete_textual_resolution
IntelliMerge,scenario_4,1:1,structural,completed_conflicted,46,27,4,0.6301369863013698,0.92,0.7479674796747968,0.75,1,,,False,False
IntelliMerge,scenario_5,1:1,structural,completed_clean,0,0,50,,0.0,,,0,,,False,False
IntelliMerge,scenario_6,1:1,structural,completed_clean,50,0,0,1.0,1.0,1.0,1.00,2,,,True,True
IntelliMerge,scenario_7,1:1,structural,completed_conflicted,27,9,21,0.75,0.5625,0.6428571428571429,0.64,4,,,False,False
IntelliMerge,scenario_8,1:1,structural,completed_conflicted,49,13,1,0.7903225806451613,0.98,0.8749999999999999,0.87,1,,,False,False
IntelliMerge,scenario_9,1:1,structural,completed_clean,16,2,30,0.8888888888888888,0.34782608695652173,0.5,0.50,1,,,False,False
IntelliMerge,scenario_10,1:1,structural,completed_clean,51,0,0,1.0,1.0,1.0,1.00,2,,,True,True
IntelliMerge,scenario_11,1:1,behavioral,completed_conflicted,94,23,19,0.8034188034188035,0.831858407079646,0.817391304347826,0.82,1,,,False,False
IntelliMerge,scenario_23,1:N,behavioral,completed_conflicted,21,22,34,0.4883720930232558,0.38181818181818183,0.42857142857142855,0.43,2,EmailStrategy.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,,False,False
IntelliMerge,scenario_30,N:N,structural,completed_clean,13,12,40,0.52,0.24528301886792453,0.3333333333333333,0.33,1,Contact.java,,False,False
IntelliMerge,scenario_34,1:1,behavioral,completed_conflicted,12,7,7,0.631578947368421,0.631578947368421,0.631578947368421,0.63,1,,,False,False
IntelliMerge,scenario_35,1:1,behavioral,completed_conflicted,11,5,0,0.6875,1.0,0.8148148148148148,0.81,1,,,False,False
IntelliMerge,scenario_36,N:N,behavioral,completed_conflicted,29,7,32,0.8055555555555556,0.47540983606557374,0.5979381443298968,0.60,3,DatabaseConnectionFactory.java,,False,False
IntelliMerge,scenario_37,1:N,behavioral,completed_conflicted,15,15,5,0.5,0.75,0.6,0.60,3,,,False,False
IntelliMerge,scenario_38,N:N,behavioral,completed_conflicted,109,56,65,0.6606060606060606,0.6264367816091954,0.6430678466076697,0.64,4,,,False,False
IntelliMerge,scenario_39,N:N,behavioral,completed_conflicted,247,81,194,0.7530487804878049,0.5600907029478458,0.6423927178153446,0.64,4,BillingManager.java;LoyaltyManager.java;SubscriptionManager.java,,False,False
JDime,scenario_5,1:1,structural,completed_clean,0,0,50,,0.0,,,0,,,False,False
JDime,scenario_17,1:N,structural,completed_clean,0,0,50,,0.0,,,0,ContactMethods.java;PersonIdentity.java,Person.java,False,False
