scenario_id,scenario_number,mapping,change_type,fstmerge_status,fstmerge_precision,fstmerge_recall,fstmerge_f1_score,fstmerge_sequence_agreement,fstmerge_exact_oracle_match,fstmerge_syntactic_valid,fstmerge_complete_textual_resolution,intellimerge_status,intellimerge_precision,intellimerge_recall,intellimerge_f1_score,intellimerge_sequence_agreement,intellimerge_exact_oracle_match,intellimerge_syntactic_valid,intellimerge_complete_textual_resolution,jdime_status,jdime_precision,jdime_recall,jdime_f1_score,jdime_sequence_agreement,jdime_exact_oracle_match,jdime_syntactic_valid,jdime_complete_textual_resolution
scenario_30,30,N:N,structural,completed_clean,0.2926829268292683,0.6792452830188679,0.4090909090909091,0.2845528455284553,False,False,False,completed_clean,0.52,0.24528301886792453,0.3333333333333333,0.24528301886792453,False,False,False,invalid_output,,,,,False,,False
scenario_31,31,N:N,structural,completed_clean,0.327217125382263,0.8359375,0.4703296703296704,0.3180428134556575,False,False,False,invalid_output,,,,,False,,False,invalid_output,,,,,False,,False
scenario_32,32,N:N,structural,completed_clean,0.2804878048780488,0.8846153846153846,0.42592592592592593,0.2682926829268293,False,True,False,invalid_output,,,,,False,,False,invalid_output,,,,,False,,False
scenario_33,33,N:N,structural,completed_clean,0.19591836734693877,0.7868852459016393,0.3137254901960784,0.17551020408163265,False,True,False,invalid_output,,,,,False,,False,invalid_output,,,,,False,,False
scenario_34,34,1:1,behavioral,completed_clean,0.5555555555555556,0.5263157894736842,0.5405405405405405,0.47368421052631576,False,True,False,completed_conflicted,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,False,False,False,invalid_output,,,,,False,,False
scenario_35,35,1:1,behavioral,completed_clean,0.3888888888888889,0.6363636363636364,0.4827586206896552,0.3888888888888889,False,True,False,completed_conflicted,0.6875,1.0,0.8148148148148148,0.6875,False,False,False,invalid_output,,,,,False,,False
scenario_36,36,N:N,behavioral,completed_clean,0.5842696629213483,0.8524590163934426,0.6933333333333332,0.4606741573033708,False,True,False,completed_conflicted,0.8055555555555556,0.47540983606557374,0.5979381443298968,0.4262295081967213,False,False,False,invalid_output,,,,,False,,False
scenario_37,37,1:N,behavioral,completed_clean,0.2608695652173913,0.3,0.27906976744186046,0.2608695652173913,False,True,False,completed_conflicted,0.5,0.75,0.6,0.4666666666666667,False,False,False,invalid_output,,,,,False,,False
scenario_38,38,N:N,behavioral,completed_clean,0.625,0.5747126436781609,0.5988023952095808,0.47126436781609193,False,True,False,completed_conflicted,0.6606060606060606,0.6264367816091954,0.6430678466076697,0.5172413793103449,False,False,False,invalid_output,,,,,False,,False
scenario_39,39,N:N,behavioral,completed_clean,0.648014440433213,0.8140589569160998,0.721608040201005,0.5234657039711191,False,True,False,completed_conflicted,0.7530487804878049,0.5600907029478458,0.6423927178153446,0.5260770975056689,False,False,False,invalid_output,,,,,False,,False
