tool_name,expected_n,applicable_n,unavailable_n,status_completed_clean_n,status_completed_clean_rate,status_completed_conflicted_n,status_completed_conflicted_rate,status_invalid_output_n,status_invalid_output_rate,status_crash_n,status_crash_rate,status_timeout_n,status_timeout_rate,status_setup_error_n,status_setup_error_rate,macro_precision_n,macro_precision_mean,macro_precision_median,macro_precision_sample_sd,macro_precision_min,macro_precision_q1,macro_precision_q3,macro_precision_max,macro_recall_n,macro_recall_mean,macro_recall_median,macro_recall_sample_sd,macro_recall_min,macro_recall_q1,macro_recall_q3,macro_recall_max,macro_f1_score_n,macro_f1_score_mean,macro_f1_score_median,macro_f1_score_sample_sd,macro_f1_score_min,macro_f1_score_q1,macro_f1_score_q3,macro_f1_score_max,macro_sequence_agreement_n,macro_sequence_agreement_mean,macro_sequence_agreement_median,macro_sequence_agreement_sample_sd,macro_sequence_agreement_min,macro_sequence_agreement_q1,macro_sequence_agreement_q3,macro_sequence_agreement_max,micro_true_positives,micro_false_positives,micro_false_negatives,micro_precision,micro_recall,micro_f1_score,exact_oracle_match_n,exact_oracle_match_rate,complete_textual_resolution_n,complete_textual_resolution_rate,end_to_end_f1_zero_unavailable
FSTMerge,39,39,0,39,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,0.3571974684839788,0.32401990968801314,0.14524937194634266,0.09497206703910614,0.27506381168462846,0.40303030303030307,0.6986301369863014,39,0.7406634749273527,0.7868852459016393,0.19684306577637145,0.0,0.679622641509434,0.8604400345125107,0.98,38,0.46361121830998053,0.46973273639940305,0.12724451929731365,0.16143497757847536,0.4121993477374643,0.5303441382264744,0.7384615384615384,39,0.32330512277378415,0.31313131313131315,0.12692667535090787,0.0,0.2641557128412538,0.3956521739130435,0.6,2076,3806,693,0.35294117647058826,0.7497291440953413,0.4799445150849613,0,0.0,0,0.0,0.4517237511738272
IntelliMerge,39,18,21,6,0.15384615384615385,12,0.3076923076923077,21,0.5384615384615384,0,0.0,0,0.0,0,0.0,17,0.7459022227767301,0.7530487804878049,0.16056007537708436,0.4883720930232558,0.631578947368421,0.88,1.0,18,0.676266775706295,0.6907894736842105,0.3008220219118709,0.0,0.4965800527861418,0.965,1.0,17,0.711073323120824,0.6430678466076697,0.19488620416405325,0.3333333333333333,0.6,0.8749999999999999,1.0,18,0.5876523449059685,0.5859018264840182,0.280399234554439,0.0,0.4363387978142076,0.8001447477253929,1.0,883,291,509,0.752129471890971,0.6343390804597702,0.6882307092751364,2,0.05128205128205128,2,0.05128205128205128,0.3099550382834361
JDime,39,2,37,2,0.05128205128205128,0,0.0,37,0.9487179487179487,0,0.0,0,0.0,0,0.0,0,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,,0.0,,0,0.0,0,0.0,0.0
