tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
FSTMerge,scenario_20,1:N,structural,completed_clean,process completed with a readable output tree,2,3,,Person.java,61,191,56,135,5,0.2931937172774869,0.9180327868852459,0.4444444444444444,0.2879581151832461,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_21,1:N,structural,completed_clean,process completed with a readable output tree,2,3,,Person.java,53,177,44,133,9,0.24858757062146894,0.8301886792452831,0.382608695652174,0.22598870056497175,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_22,1:N,structural,completed_clean,process completed with a readable output tree,2,3,,Person.java,51,126,39,87,12,0.30952380952380953,0.7647058823529411,0.4406779661016949,0.29365079365079366,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_23,1:N,behavioral,completed_clean,process completed with a readable output tree,5,5,,,55,71,35,36,20,0.49295774647887325,0.6363636363636364,0.5555555555555555,0.4788732394366197,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_24,N:N,structural,completed_clean,process completed with a readable output tree,2,5,,Address.java;Individual.java;Person.java,52,203,40,163,12,0.19704433497536947,0.7692307692307693,0.3137254901960784,0.1921182266009852,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_25,N:N,structural,completed_clean,process completed with a readable output tree,2,4,,Person.java;PhoneContact.java,60,166,48,118,12,0.2891566265060241,0.8,0.4247787610619469,0.2891566265060241,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_26,N:N,structural,completed_clean,process completed with a readable output tree,2,4,Customer.java,Client.java;Custumer.java;Purchase.java,51,172,18,154,33,0.10465116279069768,0.35294117647058826,0.16143497757847536,0.09883720930232558,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_27,N:N,structural,completed_clean,process completed with a readable output tree,2,4,,Departament.java;Employee.java,61,182,57,125,4,0.3131868131868132,0.9344262295081968,0.4691358024691358,0.3076923076923077,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_28,N:N,structural,completed_clean,process completed with a readable output tree,1,4,,DetailAddress.java;Person.java;Profile.java,25,179,17,162,8,0.09497206703910614,0.68,0.16666666666666666,0.09497206703910614,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_29,N:N,structural,completed_clean,process completed with a readable output tree,3,5,,Departament.java;Staff.java,76,203,66,137,10,0.3251231527093596,0.868421052631579,0.4731182795698924,0.3103448275862069,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
